keyword,parent_keyword,cluster,category,monthly_pc,monthly_mobile,monthly_total,competition,source_seed,trend_1m,trend_3m,trend_momentum,seasonality,web_result_count,demand_supply_ratio,competition_ratio,result_count_checked_at,commercial_intent,freshness,longtail_score,content_fit,opportunity_score,score_valid,score_invalid_reasons,data_coverage,novelty_score,theme_state,seed_source,exploration_bucket,status,discovered_at,last_checked,source,depth,confidence,content_types,intent,action,closest_url,overlap,reason,strategy,volume_note,search_ads_checked_at,datalab_checked_at,pending_validation,pending_retry_count,pending_last_attempt_at,pending_validation_expired
URI percent encoding,,uripercentencoding,topic:uri,,,0,낮음,URI percent encoding,,,,,,,,,0.3,0.2,0.36000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/korea-yangyang.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T09:35:21.318215+09:00,2026-09-26T08:20:10.101247+09:00,,,,
UUID format validator,,uuidformatvalidator,topic:uuid,,,0,낮음,UUID format validator,,,,,,,,,0.3,0.2,0.38,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/uuid-generator/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T09:35:21.318215+09:00,2026-09-26T08:20:10.101247+09:00,,,,
UUID version inspector,,uuidversioninspector,topic:uuid,,,0,낮음,UUID version inspector,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/estonia-johvi.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-26T14:06:04.210833+09:00,2026-09-26T08:20:10.101247+09:00,,,,
UUIDv7 timestamp decoder,,uuidv7timestampdecoder,topic:uuidv,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/unix-timestamp/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-26T08:20:10.101247+09:00,,,,
Unicode confusable detector,,unicodeconfusabledetector,topic:unicode,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/north-macedonia-sveti-nikole.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
Unicode normalization forms,,unicodenormalizationforms,topic:unicode,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/bhutan-damchu.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
WCAG color contrast ratio,,wcagcolorcontrastratio,topic:wcag,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/stock/cmcsa.html,LOW_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
WCAG focus appearance checker,,wcagfocusappearancechecker,topic:wcag,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/france-bastia.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
WCAG pause stop hide checker,,wcagpausestophidechecker,topic:wcag,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/report/travel/usa-philadelphia.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T06:09:11.859196+09:00,2026-09-26T08:20:10.101247+09:00,,,,
WebRTC leak surface check,,webrtcleaksurfacecheck,topic:webrtc,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-09T19:31:43.072540+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/util/text-cleaner/,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-11T04:07:43.702725+09:00,2026-09-26T08:20:10.101247+09:00,,,,
'26년8월중대재해사이렌(오픈채팅방)자료공개,,26년8월중대재해사이렌오픈채팅방자료공개,topic:중대재해사이렌,,,,,,,,,,,,,,0.3,0.2,0.4,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-10T16:10:20.341088+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|informational,informational,NEW_PAGE,/kor/report/coin/aist-guide.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-10T18:22:53.467440+09:00,2026-09-26T08:20:10.101247+09:00,,,,
2026.2분기(누적)산업재해현황,,20262분기누적산업재해현황,topic:분기,,,0,낮음,2026. 2분기(누적) 산업재해 현황,,,,,,,,,0.3,1,0.30000000000000004,0.4,,False,monthly_volume_missing|trend_missing|web_result_missing,20,,,,,NEW,2026-09-10T16:10:20.341088+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,current-information|informational,informational,NEW_PAGE,/kor/report/coin/aip-guide.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,LOWER_BOUND_CENSORED,2026-09-25T06:34:44.574344+09:00,2026-09-26T08:20:10.101247+09:00,,,,
26년2분기사전지정운용방법(디폴트옵션)주요현황공시,,26년2분기사전지정운용방법디폴트옵션주요현황공시,topic:분기,,,,,,,,,,,,,,0.3,0.2,0.9,0.4,,False,monthly_volume_missing|competition_missing|trend_missing|web_result_missing,0,,,,,NEW,2026-09-10T16:10:20.341088+09:00,2026-09-26T20:30:34.794344+09:00,NAVER_SEARCHAD,0,UNVERIFIED,evergreen|how-to|informational,how-to,NEW_PAGE,/kor/report/coin/aip-guide.html,NO_OVERLAP,Fixed semantic similarity threshold.,discovery,CENSORED_OR_MISSING,2026-09-10T18:22:53.467440+09:00,2026-09-26T08:20:10.101247+09:00,,,,
